640x360
resize;86;14;9252312;155
resize;25;3;9919832;36
brightness;89;3;10078568;94
contrast;42;0;10237104;42
gray_scale;53;8;9304880;63
sepia;92;0;9660392;115
rotate;79;7;9815008;89
blur;90;16;9967016;108
sharpen;72;9;10116920;83
convert;31;1;9708736;47
crop;74;0;10200840;75
800x600
resize;145;10;9117224;155
resize;141;8;9726040;154
brightness;135;13;9886528;150
contrast;58;2;10040840;62
gray_scale;83;10;10189904;95
sepia;147;6;9524680;160
rotate;140;5;9771192;152
blur;170;4;9923736;205
sharpen;123;3;9590736;134
convert;39;1;9777968;42
crop;59;8;9932704;69
1024x666
resize;141;4;9684536;148
brightness;130;4;9924808;135
contrast;136;11;9570352;197
gray_scale;83;10;9944744;94
sepia;121;1;10162936;126
rotate;132;2;10383176;139
blur;352;16;9418056;375
sharpen;282;16;9916824;305
convert;293;30;10137992;435
crop;93;0;10370120;95
2048x1332
resize;415;37;9409792;546
brightness;406;65;9436560;600
contrast;447;49;9437944;584
gray_scale;280;7;9439792;293
sepia;354;37;9460832;395
rotate;447;12;9460920;464
blur;1403;21;9460120;1656
sharpen;1134;11;9463952;1489
convert;1059;45;9471528;1223
crop;265;29;9491712;308
